log目录,policy,在线测试任务信息,数据块信息,历史任务信息,Online job num,Max-min Ratio,change_job_epsilon_max_times,Offline history job num,Beta,Datablock num,Offline datablock num,change_datablock_epsilon_max_times,Target Run Time,Success num,Failed num,Mean Significance (ALL),Mean Significance (Success),Success Datablock Num,Failed Datablock Num,Target Datablock Num,Run Time
schedule-review-simulation-05-17-15-41-42,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,0,0,100,100,1,5,189.6(187-191),60.4(59-63),7.3235019467213105(7.2750725858094265-7.401102106813527),9.65704063147482(9.522346316504485-9.759395529472032),2716.0(2696-2759),1231.0(1188-1251),3947.0(3947-3947),5.0
schedule-review-simulation-05-17-15-42-17,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,250,0,100,100,1,5,207.4(203-211),42.6(39-47),7.544463569415983(7.4554618340163925-7.644524718237701),9.095735417336241(8.872927374888318-9.200597936568323),2792.8(2760-2834),1154.2(1113-1187),3947.0(3947-3947),5.0
schedule-review-simulation-05-17-15-42-46,PBGPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,0,0,100,100,1,5,250.0(250-250),0.0(0-0),9.259727503842212(9.230493308145496-9.280154937243852),9.259727503842212(9.230493308145496-9.280154937243852),3572.2(3554-3587),374.8(360-393),3947.0(3947-3947),5.0
schedule-review-simulation-05-17-15-43-21,PBGMixPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,0,0,100,100,1,5,250.0(250-250),0.0(0-0),8.989962694407414(8.977877153464572-9.00031713714398),8.989962694407414(8.977877153464572-9.00031713714398),3697.0(3697-3697),250.0(250-250),3947.0(3947-3947),5.0
schedule-review-simulation-05-17-15-43-54,SagewithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,0,0,100,100,1,5,250.0(250-250),0.0(0-0),9.349994947489755(9.31038018698771-9.37883145491803),9.349994947489755(9.31038018698771-9.37883145491803),3644.6(3628-3654),302.4(293-319),3947.0(3947-3947),5.0
schedule-review-simulation-05-17-15-44-22,BestFitwithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,0,0,100,100,1,5,248.0(248-248),2.0(2-2),9.491474929559425(9.491474929559425-9.491474929559425),9.568019082217162(9.568019082217162-9.568019082217162),3697.0(3697-3697),250.0(250-250),3947.0(3947-3947),5.0
schedule-review-simulation-05-17-15-44-47,OfflinePolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,0,0,100,100,1,5,220.0(220-220),30.0(30-30),9.57537016521517(9.57537016521517-9.57537016521517),10.881102460471784(10.881102460471784-10.881102460471784),3689.0(3689-3689),258.0(258-258),3947.0(3947-3947),5.0
schedule-review-simulation-05-17-15-45-29,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,0,0,100,100,1,5,313.75(306-323),186.25(177-194),5.260652239690061(5.109175925332991-5.406523613601431),8.386034235767738(8.084139122362327-8.67070462651847),3845.75(3736-3952),3313.25(3207-3423),7159.0(7159-7159),5.0
schedule-review-simulation-05-17-15-45-59,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,500,0,100,100,1,5,394.5(394-395),105.5(105-106),7.342394755379093(7.33318000768442-7.3516095030737665),9.30595040680847(9.305834814017425-9.306065999599518),5208.0(5197-5219),1951.0(1940-1962),7159.0(7159-7159),2.0
schedule-review-simulation-05-17-15-47-00,PBGPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,0,0,100,100,1,5,326.6(320-332),173.4(168-180),5.073293820440577(5.054004978867832-5.087120933657792),7.768022622561771(7.636513933230364-7.942494626905092),3725.4(3716-3735),3433.6(3424-3443),7159.0(7159-7159),5.0
